OrganizationUUID,ReportingUnitUUID,VariableSpecificCV,BeneficialUseCategory,WaterSourceUUID,MethodUUID,TimeframeStart,TimeframeEnd,DataPublicationDate,DataPublicationDOI,ReportYearCV,Amount,PopulationServed,PowerGeneratedGWh,IrrigatedAcreage,InterbasinTransferToID,InterbasinTransferFromID
UTDWRE,UT_49001,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2005,9/30/2005,4/24/2019,,2005,79581.42567,,,,,
UTDWRE,UT_49001,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2006,9/30/2006,4/24/2019,,2006,76914.99791,,,,,
UTDWRE,UT_49001,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2007,9/30/2007,4/24/2019,,2007,66243.16159,,,,,
UTDWRE,UT_49001,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2008,9/30/2008,4/24/2019,,2008,69960.45502,,,,,
UTDWRE,UT_49001,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2009,9/30/2009,4/24/2019,,2009,82652.56041,,,,,
UTDWRE,UT_49001,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2010,9/30/2010,4/24/2019,,2010,67784.2226,,,,,
UTDWRE,UT_49001,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2011,9/30/2011,4/24/2019,,2011,62804.82578,,,,,
UTDWRE,UT_49001,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2012,9/30/2012,4/24/2019,,2012,69598.48745,,,,,
UTDWRE,UT_49001,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2013,9/30/2013,4/24/2019,,2013,68243.3215,,,,,
UTDWRE,UT_49001,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2014,9/30/2014,4/24/2019,,2014,68012.03734,,,,,
UTDWRE,UT_49003,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2005,9/30/2005,4/24/2019,,2005,238770.9222,,,,,
UTDWRE,UT_49003,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2006,9/30/2006,4/24/2019,,2006,293652.928,,,,,
UTDWRE,UT_49003,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2007,9/30/2007,4/24/2019,,2007,293822.2448,,,,,
UTDWRE,UT_49003,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2008,9/30/2008,4/24/2019,,2008,290046.2083,,,,,
UTDWRE,UT_49003,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2009,9/30/2009,4/24/2019,,2009,248777.2607,,,,,
UTDWRE,UT_49003,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2010,9/30/2010,4/24/2019,,2010,266766.8551,,,,,
UTDWRE,UT_49003,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2011,9/30/2011,4/24/2019,,2011,243149.7128,,,,,
UTDWRE,UT_49003,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2012,9/30/2012,4/24/2019,,2012,293164.5102,,,,,
UTDWRE,UT_49003,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2013,9/30/2013,4/24/2019,,2013,319441.3931,,,,,
UTDWRE,UT_49003,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2014,9/30/2014,4/24/2019,,2014,297581.2524,,,,,
UTDWRE,UT_49005,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2005,9/30/2005,4/24/2019,,2005,72142.94701,,,,,
UTDWRE,UT_49005,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2006,9/30/2006,4/24/2019,,2006,84427.52664,,,,,
UTDWRE,UT_49005,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2007,9/30/2007,4/24/2019,,2007,97122.26189,,,,,
UTDWRE,UT_49005,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2008,9/30/2008,4/24/2019,,2008,87546.242,,,,,
UTDWRE,UT_49005,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2009,9/30/2009,4/24/2019,,2009,66724.85929,,,,,
UTDWRE,UT_49005,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2010,9/30/2010,4/24/2019,,2010,75468.66865,,,,,
UTDWRE,UT_49005,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2011,9/30/2011,4/24/2019,,2011,59935.93263,,,,,
UTDWRE,UT_49005,"Consumptive Use, Irrigation",Agriculture,Fresh_SW_GW,"Use, Agricultural Landuse Survey",10/1/2012,9/30/2012,4/24/2019,,2012,91118.85689,,,,,
