TimeID,ReportYearCV,TimeframeStart,TimeframeEnd,DataPublicationDate
1,2005,10/1/2005,9/30/2005,2/11/2019
2,2006,10/1/2006,9/30/2006,2/11/2019
3,2007,10/1/2007,9/30/2007,2/11/2019
4,2008,10/1/2008,9/30/2008,2/11/2019
5,2009,10/1/2009,9/30/2009,2/11/2019
6,2010,10/1/2010,9/30/2010,2/11/2019
7,2011,10/1/2011,9/30/2011,2/11/2019
8,2012,10/1/2012,9/30/2012,2/11/2019
9,2013,10/1/2013,9/30/2013,2/11/2019
10,2014,10/1/2014,9/30/2014,2/11/2019
11,2005,10/1/2005,9/30/2005,2/11/2019
12,2006,10/1/2006,9/30/2006,2/11/2019
13,2007,10/1/2007,9/30/2007,2/11/2019
14,2008,10/1/2008,9/30/2008,2/11/2019
15,2009,10/1/2009,9/30/2009,2/11/2019
16,2010,10/1/2010,9/30/2010,2/11/2019
17,2011,10/1/2011,9/30/2011,2/11/2019
18,2012,10/1/2012,9/30/2012,2/11/2019
19,2013,10/1/2013,9/30/2013,2/11/2019
20,2014,10/1/2014,9/30/2014,2/11/2019
21,2005,10/1/2005,9/30/2005,2/11/2019
22,2006,10/1/2006,9/30/2006,2/11/2019
23,2007,10/1/2007,9/30/2007,2/11/2019
24,2008,10/1/2008,9/30/2008,2/11/2019
25,2009,10/1/2009,9/30/2009,2/11/2019
26,2010,10/1/2010,9/30/2010,2/11/2019
27,2011,10/1/2011,9/30/2011,2/11/2019
28,2012,10/1/2012,9/30/2012,2/11/2019
29,2013,10/1/2013,9/30/2013,2/11/2019
30,2014,10/1/2014,9/30/2014,2/11/2019
31,2005,10/1/2005,9/30/2005,2/11/2019
32,2006,10/1/2006,9/30/2006,2/11/2019
33,2007,10/1/2007,9/30/2007,2/11/2019
34,2008,10/1/2008,9/30/2008,2/11/2019
35,2009,10/1/2009,9/30/2009,2/11/2019
36,2010,10/1/2010,9/30/2010,2/11/2019
37,2011,10/1/2011,9/30/2011,2/11/2019
38,2012,10/1/2012,9/30/2012,2/11/2019
39,2013,10/1/2013,9/30/2013,2/11/2019
40,2014,10/1/2014,9/30/2014,2/11/2019
41,2005,10/1/2005,9/30/2005,2/11/2019
42,2006,10/1/2006,9/30/2006,2/11/2019
43,2007,10/1/2007,9/30/2007,2/11/2019
44,2008,10/1/2008,9/30/2008,2/11/2019
45,2009,10/1/2009,9/30/2009,2/11/2019
46,2010,10/1/2010,9/30/2010,2/11/2019
47,2011,10/1/2011,9/30/2011,2/11/2019
48,2012,10/1/2012,9/30/2012,2/11/2019
49,2013,10/1/2013,9/30/2013,2/11/2019
50,2014,10/1/2014,9/30/2014,2/11/2019
51,2005,10/1/2005,9/30/2005,2/11/2019
52,2006,10/1/2006,9/30/2006,2/11/2019
53,2007,10/1/2007,9/30/2007,2/11/2019
54,2008,10/1/2008,9/30/2008,2/11/2019
55,2009,10/1/2009,9/30/2009,2/11/2019
56,2010,10/1/2010,9/30/2010,2/11/2019
57,2011,10/1/2011,9/30/2011,2/11/2019
58,2012,10/1/2012,9/30/2012,2/11/2019
59,2013,10/1/2013,9/30/2013,2/11/2019
60,2014,10/1/2014,9/30/2014,2/11/2019
61,2005,10/1/2005,9/30/2005,2/11/2019
62,2006,10/1/2006,9/30/2006,2/11/2019
63,2007,10/1/2007,9/30/2007,2/11/2019
64,2008,10/1/2008,9/30/2008,2/11/2019
65,2009,10/1/2009,9/30/2009,2/11/2019
66,2010,10/1/2010,9/30/2010,2/11/2019
67,2011,10/1/2011,9/30/2011,2/11/2019
68,2012,10/1/2012,9/30/2012,2/11/2019
69,2013,10/1/2013,9/30/2013,2/11/2019
70,2014,10/1/2014,9/30/2014,2/11/2019
71,2005,10/1/2005,9/30/2005,2/11/2019
72,2006,10/1/2006,9/30/2006,2/11/2019
73,2007,10/1/2007,9/30/2007,2/11/2019
74,2008,10/1/2008,9/30/2008,2/11/2019
75,2009,10/1/2009,9/30/2009,2/11/2019
76,2010,10/1/2010,9/30/2010,2/11/2019
77,2011,10/1/2011,9/30/2011,2/11/2019
78,2012,10/1/2012,9/30/2012,2/11/2019
79,2013,10/1/2013,9/30/2013,2/11/2019
80,2014,10/1/2014,9/30/2014,2/11/2019
81,2005,10/1/2005,9/30/2005,2/11/2019
82,2006,10/1/2006,9/30/2006,2/11/2019
83,2007,10/1/2007,9/30/2007,2/11/2019
84,2008,10/1/2008,9/30/2008,2/11/2019
85,2009,10/1/2009,9/30/2009,2/11/2019
86,2010,10/1/2010,9/30/2010,2/11/2019
87,2011,10/1/2011,9/30/2011,2/11/2019
88,2012,10/1/2012,9/30/2012,2/11/2019
89,2013,10/1/2013,9/30/2013,2/11/2019
90,2014,10/1/2014,9/30/2014,2/11/2019
91,2005,10/1/2005,9/30/2005,2/11/2019
92,2006,10/1/2006,9/30/2006,2/11/2019
93,2007,10/1/2007,9/30/2007,2/11/2019
94,2008,10/1/2008,9/30/2008,2/11/2019
95,2009,10/1/2009,9/30/2009,2/11/2019
96,2010,10/1/2010,9/30/2010,2/11/2019
97,2011,10/1/2011,9/30/2011,2/11/2019
98,2012,10/1/2012,9/30/2012,2/11/2019
99,2013,10/1/2013,9/30/2013,2/11/2019
100,2014,10/1/2014,9/30/2014,2/11/2019
101,2005,10/1/2005,9/30/2005,2/11/2019
102,2006,10/1/2006,9/30/2006,2/11/2019
103,2007,10/1/2007,9/30/2007,2/11/2019
104,2008,10/1/2008,9/30/2008,2/11/2019
105,2009,10/1/2009,9/30/2009,2/11/2019
106,2010,10/1/2010,9/30/2010,2/11/2019
107,2011,10/1/2011,9/30/2011,2/11/2019
108,2012,10/1/2012,9/30/2012,2/11/2019
109,2013,10/1/2013,9/30/2013,2/11/2019
110,2014,10/1/2014,9/30/2014,2/11/2019
111,2005,10/1/2005,9/30/2005,2/11/2019
112,2006,10/1/2006,9/30/2006,2/11/2019
113,2007,10/1/2007,9/30/2007,2/11/2019
114,2008,10/1/2008,9/30/2008,2/11/2019
115,2009,10/1/2009,9/30/2009,2/11/2019
116,2010,10/1/2010,9/30/2010,2/11/2019
