BeneficialUseID,BeneficialUseUUID,BeneficialUseCategory,PrimaryUseCategory,USGSCategoryNameCV,NAICSCodeNameCV
1,1,BeneficialUseCategory,AllocationPrimaryUseCategory,USGSCategoryNameCV,NAICSCodeNameCV
2,2,"Storage, Irrigation, Recreation, Fishery, Fire, Domestic, Stock, Augmentation, Wildlife",,,
3,3,"Fishery, Stock, Recharge, Wildlife",,,
4,4,"Irrigation, Municipal, Recreation, Fishery, Augmentation, Wildlife",,,
5,5,"Storage, Irrigation, Industrial, Augmentation",,,
6,6,"Irrigation, Municipal, Commercial, Recreation, Fire, Domestic, Stock, Other, Recharge",,,
7,7,"Irrigation, Industrial, Fire, Domestic, Augmentation",,,
8,8,"Irrigation, Industrial, Stock",,,
9,9,"Irrigation, Industrial, Fishery, Domestic, Stock",,,
10,10,"Irrigation, Recreation, Fishery, Fire, Domestic, Wildlife",,,
11,11,"Irrigation, Commercial, Recreation, Fishery, Domestic, Wildlife",,,
12,12,"Storage, Municipal, Domestic",,,
13,13,"Recreation, Fishery, Federal Reserved, Other",,,
14,14,"Irrigation, Domestic, Stock, Augmentation",,,
15,15,"Municipal, Industrial, Augmentation",,,
16,16,"Storage, Irrigation, Fishery, Domestic, Stock, Power, Other",,,
17,17,"Irrigation, Municipal, Industrial, Fishery, Augmentation, Snowmaking, Wildlife",,,
18,18,"Commercial, Domestic, Stock",,,
19,19,"Irrigation, Commercial, Recreation, Fishery, Fire, Stock, Augmentation, Other",,,
20,20,"Industrial, Other",,,
21,21,"Irrigation, Industrial, Domestic, Augmentation, Power, Other",,,
22,22,"Storage, Irrigation, Municipal, Commercial, Recreation, Fishery, Domestic",,,
23,23,"Irrigation, Recreation, Domestic, Augmentation",,,
24,24,"Irrigation, Recreation, Other, Wildlife",,,
25,25,"Irrigation, Municipal, Fire, Domestic, Stock, Household Use Only",,,
26,26,"Irrigation, Municipal, Commercial, Recreation, Fishery, Fire, Domestic, Stock, Other",,,
27,27,"Commercial, Stock, Household Use Only",,,
28,28,"Irrigation, Recreation, Fishery, Fire, Stock, Augmentation, Wildlife",,,
29,29,"Storage, Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Domestic",,,
30,30,"Municipal, Domestic, Power",,,
31,31,"Irrigation, Industrial, Recreation, Fishery, Fire, Stock, Wildlife",,,
32,32,"Fire, Augmentation, Other",,,
33,33,"Irrigation, Industrial",,,
34,34,"Storage, Irrigation, Commercial, Industrial, Recreation, Fishery, Domestic, Stock, Augmentation, Wildlife",,,
35,35,"Municipal, Commercial, Recreation, Fishery, Augmentation, Wildlife",,,
36,36,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fire, Domestic, Stock, Augmentation, Wildlife",,,
37,37,"Irrigation, Recreation, Wildlife",,,
38,38,"Irrigation, Commercial, Industrial, Recreation, Fishery, Domestic, Stock",,,
39,39,"Commercial, Industrial, Recreation, Geothermal",,,
40,40,"Storage, Irrigation, Commercial, Fishery, Fire, Domestic, Augmentation, Other, Wildlife",,,
41,41,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fire, Domestic, Augmentation, Power",,,
42,42,"Industrial, Fishery, Domestic",,,
43,43,"Irrigation, Recreation, Fishery, Augmentation, Wildlife",,,
44,44,"Storage, Irrigation, Recreation, Fishery, Fire, Domestic, Stock, Other, Wildlife",,,
45,45,"Irrigation, Commercial, Recreation, Fishery, Fire, Augmentation, Other",,,
46,46,"Irrigation, Commercial, Industrial, Recreation, Domestic, Stock, Augmentation",,,
47,47,"Industrial, Fire, Stock",,,
48,48,"Irrigation, Municipal, Industrial, Recreation, Augmentation, Minimum Streamflow, Power",,,
49,49,"Fishery, Domestic, Stock, Augmentation",,,
50,50,"Domestic, Stock, Other",,,
51,51,"Municipal, Fire, Augmentation",,,
52,52,"Municipal, Industrial, Recreation, Domestic, Snowmaking",,,
53,53,"Irrigation, Municipal, Recreation, Fire, Domestic, All Beneficial Uses",,,
54,54,"Irrigation, Domestic, Stock, Evaporative",,,
55,55,"Storage, Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Augmentation, Cumulative Accretion to River",,,
56,56,"Irrigation, Fishery, Fire, Federal Reserved, Wildlife",,,
57,57,"Storage, Commercial, Industrial, Recreation, Fishery, Fire, Stock, Wildlife",,,
58,58,"Commercial, Geothermal",,,
59,59,"Domestic, All Beneficial Uses",,,
60,60,Irrigation,,,
61,61,"Industrial, Recreation, Fishery, Domestic",,,
62,62,"Irrigation, Industrial, Fire, Domestic, Stock, Wildlife",,,
63,63,"Irrigation, Recreation, Fire, Domestic",,,
64,64,"Irrigation, Commercial, Other",,,
65,65,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Augmentation, Cumulative Accretion to River",,,
66,66,"Irrigation, Industrial, Recreation, Fishery, Domestic, Power",,,
67,67,"Storage, Irrigation, Industrial, Fire, Domestic, Power, All Beneficial Uses",,,
68,68,"Irrigation, Municipal, Commercial, Industrial, Domestic",,,
69,69,"Irrigation, Commercial, Domestic, Stock, Wildlife",,,
70,70,"Irrigation, Municipal, Recreation, Fire, Domestic",,,
71,71,"Irrigation, Fire, Stock, Household Use Only",,,
72,72,"Irrigation, Municipal, Commercial, Industrial, Fire, Domestic, Stock, Augmentation, Wildlife",,,
73,73,"Irrigation, Industrial, Fishery, Stock",,,
74,74,"Irrigation, Industrial, Recreation, Fishery, Other",,,
75,75,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Domestic, Stock, Augmentation, Evaporative",,,
76,76,"Irrigation, Commercial, Domestic, Stock, Other",,,
77,77,"Irrigation, Industrial, Recreation, Fishery, Fire, Domestic, Stock",,,
78,78,"Irrigation, Recreation, Fishery, Fire, Stock, Augmentation, Other",,,
79,79,"Irrigation, Stock, Augmentation, Wildlife",,,
80,80,"Irrigation, Domestic, Augmentation, Cumulative Accretion to River, Recharge, All Beneficial Uses",,,
81,81,"Storage, Irrigation, Fire",,,
82,82,"Storage, Irrigation, Commercial, Recreation, Fishery, Fire, Domestic",,,
83,83,"Storage, Irrigation, Recreation, Fishery, Fire, Stock, Augmentation, Power, Wildlife",,,
84,84,"Municipal, Augmentation, All Beneficial Uses",,,
85,85,"Commercial, Industrial, Recreation, Fishery, Domestic, Stock, Augmentation",,,
86,86,"Commercial, Fire, Domestic, Snowmaking",,,
87,87,"Storage, Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Augmentation",,,
88,88,"Municipal, Commercial, Fishery, Domestic",,,
89,89,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Stock, Evaporative",,,
90,90,Stock,,,
91,91,"Stock, Federal Reserved, Wildlife",,,
92,92,"Irrigation, Fire, Domestic, Evaporative",,,
93,93,"Storage, Irrigation, Recreation, Fishery, Stock, Recharge, Wildlife",,,
94,94,"Irrigation, Recreation, Fishery, Fire, Stock, Augmentation, Power, Other, Wildlife",,,
95,95,"Storage, Irrigation, Municipal, Commercial, Industrial, Domestic, Stock",,,
96,96,"Municipal, Commercial, Industrial, Domestic, Other",,,
97,97,"Domestic, Stock, Augmentation",,,
98,98,"Irrigation, Fire, Domestic, Augmentation, Evaporative",,,
99,99,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Recharge, Wildlife",,,
100,100,"Irrigation, Domestic, Stock, Augmentation, Other",,,
101,101,"Storage, Municipal, Stock",,,
102,102,"Irrigation, Recreation, Fire, Domestic, Stock, Augmentation, Evaporative, Other",,,
103,103,"Irrigation, Municipal, Commercial, Industrial, Augmentation, Recharge",,,
104,104,"Irrigation, Industrial, Recreation, Fishery, Fire, Stock",,,
105,105,"Irrigation, Municipal, Recreation, Fishery, Fire, Domestic, Stock, Other, Wildlife",,,
106,106,"Irrigation, Industrial, Recreation, Fishery, Domestic, Minimum Streamflow, Other, Wildlife",,,
107,107,"Irrigation, Recreation, Fishery, Other, Recharge",,,
108,108,"Irrigation, Recreation, Augmentation, Other, Wildlife",,,
109,109,"Recreation, Fishery, Fire, Stock, Augmentation, Wildlife",,,
110,110,"Irrigation, Fishery, Domestic, All Beneficial Uses",,,
111,111,"Storage, Irrigation, Commercial, Industrial, Domestic, Stock",,,
112,112,"Fishery, Stock, Other",,,
113,113,"Irrigation, Commercial, Fire, Domestic, Stock, Augmentation, Other",,,
114,114,"Fishery, Domestic, Stock, Wildlife",,,
115,115,"Irrigation, Commercial, Fire, Other",,,
116,116,"Irrigation, Commercial, Industrial, Fishery, Fire, Stock, Augmentation",,,
117,117,"Irrigation, Domestic, Stock, All Beneficial Uses",,,
118,118,"Irrigation, Fishery, Fire",,,
119,119,"Irrigation, Industrial, Recreation, Fishery, Domestic, Stock, Wildlife",,,
120,120,"Fishery, Domestic, Stock, Other",,,
121,121,"Irrigation, Municipal, Industrial, Recreation, Fishery, Fire, Domestic, Augmentation, Evaporative, Wildlife",,,
122,122,"Irrigation, Recreation, Domestic, Stock",,,
123,123,"Irrigation, Recreation, Domestic, Federal Reserved, Other",,,
124,124,"Irrigation, Fishery, Domestic, Stock, Augmentation, Wildlife",,,
125,125,"Municipal, Recreation, Fishery, Augmentation, Other, Wildlife",,,
126,126,"Storage, Irrigation, Recreation, Fishery, Fire, Stock, Power, Other, Wildlife",,,
127,127,"Storage, Irrigation, Municipal, Industrial, Recreation, Domestic, Other",,,
128,128,"Storage, Irrigation, Municipal, Commercial, Industrial, Recreation, Fire, Domestic, Stock, Augmentation",,,
129,129,"Irrigation, Municipal, Industrial, Fire, Other",,,
130,130,"Municipal, Commercial",,,
131,131,"Recreation, Fire, Stock, Other, Wildlife",,,
132,132,"Municipal, Domestic, All Beneficial Uses",,,
133,133,"Irrigation, Municipal, Commercial, Industrial, Fishery, Fire, Domestic, Stock, Augmentation",,,
134,134,"Storage, Municipal, Commercial, Recreation, Fire, Domestic, Stock, Household Use Only",,,
135,135,"Irrigation, Fishery, Domestic, Augmentation",,,
136,136,"Irrigation, Municipal, Augmentation, Other",,,
137,137,"Irrigation, Municipal, Commercial, Recreation, Domestic, Stock, Augmentation, Other",,,
138,138,"Municipal, Industrial, Domestic, Augmentation, Other",,,
139,139,"Commercial, Recreation, Fishery, Fire, Stock, Augmentation, Wildlife",,,
140,140,"Municipal, Industrial, Recreation, Fishery, Domestic, Augmentation, Wildlife",,,
141,141,"Municipal, Industrial, Recreation, Snowmaking",,,
142,142,"Recreation, Fishery, Fire, Augmentation, Wildlife",,,
143,143,"Fire, Domestic, Stock, Household Use Only",,,
144,144,"Irrigation, Municipal, Commercial, Industrial, Recreation, Domestic, Stock",,,
145,145,"Storage, Commercial, Recreation, Fishery",,,
146,146,"Storage, Commercial, Industrial, Recreation, Fishery, Domestic, Stock, Augmentation",,,
147,147,"Storage, Irrigation, Fishery, Domestic, Stock, Wildlife",,,
148,148,"Irrigation, Augmentation, Wildlife",,,
149,149,"Storage, Municipal, Augmentation, Recharge, All Beneficial Uses",,,
150,150,"Irrigation, Municipal, Industrial, Domestic, Stock, Augmentation",,,
151,151,"Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Stock, Augmentation, Power",,,
152,152,"Irrigation, Domestic, Stock, Wildlife, All Beneficial Uses",,,
153,153,"Municipal, Industrial, Recreation, Other",,,
154,154,"Irrigation, Recreation, Fishery, Fire, Augmentation, Other",,,
155,155,"Irrigation, Commercial, Fishery, Fire, Domestic, Augmentation, Other",,,
156,156,"Irrigation, Commercial, Industrial, Fishery, Fire, Domestic, Augmentation",,,
157,157,"Storage, Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Augmentation, Evaporative, Wildlife",,,
158,158,"Fishery, Fire, Domestic, Stock, Wildlife",,,
159,159,"Municipal, Commercial, Fire, Domestic, Other",,,
160,160,"Irrigation, Municipal, Fire, Domestic, Stock, Other",,,
161,161,"Storage, Irrigation, Recreation, Augmentation, Other, Wildlife",,,
162,162,"Irrigation, Recreation, Fishery, Fire, Stock, Augmentation, Other, Wildlife",,,
163,163,"Irrigation, Industrial, Recreation, Fire, Domestic",,,
164,164,"Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Augmentation, Wildlife",,,
165,165,Household Use Only,,,
166,166,"Irrigation, Minimum Streamflow",,,
167,167,"Irrigation, Recreation, Fishery, Fire, Augmentation, Wildlife",,,
168,168,"Municipal, Commercial, Industrial, Fire, Augmentation",,,
169,169,"Municipal, Industrial, Domestic, Other",,,
170,170,"Recreation, Other",,,
171,171,"Recreation, Fishery, Fire, Other, Wildlife",,,
172,172,"Irrigation, Municipal, Industrial, Recreation, Fire, Domestic, Stock",,,
173,173,"Storage, Irrigation, Recreation, Fire, Domestic",,,
174,174,"Irrigation, Municipal, Commercial, Fire, Other",,,
175,175,"Storage, Irrigation, Municipal, Commercial, Industrial, Fishery, Other",,,
176,176,"Irrigation, Municipal, Commercial, Recreation, Domestic, Augmentation, Recharge",,,
177,177,"Municipal, Industrial, Domestic, Power",,,
178,178,"Commercial, Recreation, Other",,,
179,179,"Irrigation, Municipal, Recreation, Fire, Domestic, Snowmaking, All Beneficial Uses",,,
180,180,"Irrigation, Industrial, Recreation, Fishery, Domestic",,,
181,181,"Irrigation, Fishery, Fire, Domestic, Stock, Augmentation, Other",,,
182,182,Fire,,,
183,183,"Commercial, Fire, Domestic, Stock, Augmentation",,,
184,184,"Irrigation, Municipal, Commercial, Industrial, Fire, Domestic, Augmentation",,,
185,185,"Storage, Irrigation, Municipal, Recreation, Fishery, Fire, Domestic, Augmentation, Wildlife",,,
186,186,"Irrigation, Municipal, Commercial, Recreation, Domestic, Augmentation, Other",,,
187,187,"Irrigation, Municipal, Industrial, Fire, Domestic",,,
188,188,"Recreation, Fishery, Augmentation",,,
189,189,"Commercial, Recreation, Fishery, Fire, Domestic",,,
190,190,"Irrigation, Municipal, Commercial, Recreation, Fishery, Fire, Domestic, Stock, Snowmaking, Wildlife",,,
191,191,"Fishery, Domestic, Augmentation",,,
192,192,"Irrigation, Commercial, Recreation, Fishery, Fire, Domestic, Augmentation, Other, Wildlife",,,
193,193,"Irrigation, Commercial, Fishery, Fire, Domestic, Stock, Augmentation, Wildlife",,,
194,194,"Municipal, Fire, Other",,,
195,195,"Augmentation, Recharge, All Beneficial Uses",,,
196,196,"Storage, Irrigation, Commercial, Fishery, Fire, Domestic",,,
197,197,"Irrigation, Recreation, Fire, Domestic, Augmentation",,,
198,198,"Irrigation, Municipal, Commercial, Recreation, Fire, Domestic, Augmentation",,,
199,199,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Domestic, Stock, Power",,,
200,200,"Irrigation, Municipal, Commercial, Fishery, Domestic, Stock",,,
201,201,"Irrigation, Industrial, Recreation, Fishery, Fire, Wildlife",,,
202,202,"Irrigation, Municipal, Augmentation, Snowmaking",,,
203,203,"Storage, Commercial, Recreation, Fishery, Fire, Domestic, Stock, Wildlife",,,
204,204,"Recreation, Wildlife",,,
205,205,"Recreation, Fishery, Stock, Augmentation, Wildlife",,,
206,206,"Storage, Domestic, Augmentation",,,
207,207,"Irrigation, Recreation, Domestic, Wildlife",,,
208,208,"Irrigation, Municipal, Industrial, Domestic, Snowmaking",,,
209,209,"Storage, Recreation, Fishery, Fire, Augmentation",,,
210,210,"Recreation, Fire, Domestic, Stock, Wildlife",,,
211,211,"Irrigation, Fishery, Domestic, Stock, Augmentation",,,
212,212,"Commercial, Stock, Wildlife",,,
213,213,"Irrigation, Municipal, Industrial, Domestic, Other",,,
214,214,"Fishery, Domestic, Stock",,,
215,215,"Storage, Irrigation, Domestic, Stock, Augmentation",,,
216,216,"Irrigation, Municipal, Domestic, Other",,,
217,217,"Commercial, Fire, Domestic, Household Use Only",,,
218,218,"Irrigation, Municipal, Industrial, Fire, Domestic, Power",,,
219,219,"Augmentation, Other, Wildlife",,,
220,220,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Domestic, Stock, Snowmaking, Other",,,
221,221,"Irrigation, Commercial, Recreation, Fire, Domestic, Stock",,,
222,222,"Irrigation, Municipal, Industrial, Recreation, Fishery, Domestic, Stock, Augmentation, Evaporative, Power",,,
223,223,"Irrigation, Municipal, Industrial, Domestic, Stock, Power",,,
224,224,"Storage, Irrigation, Recreation, Fishery, Fire, Domestic, Stock, Other",,,
225,225,"Irrigation, Municipal, Recreation, Fishery, Domestic, Stock, Augmentation, Evaporative, Minimum Streamflow, Power",,,
226,226,"Recreation, Fishery, Fire, Federal Reserved",,,
227,227,"Recreation, Fishery, Recharge, Wildlife",,,
228,228,"Irrigation, Municipal, Commercial, Industrial, Recreation, Domestic, Stock, Wildlife",,,
229,229,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Domestic, Stock, Power, Wildlife",,,
230,230,"Storage, Irrigation, Stock, Other",,,
231,231,"Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Stock, Other, Wildlife",,,
232,232,"Recreation, Domestic, Other",,,
233,233,"Industrial, Domestic, Stock, Power, Other",,,
234,234,"Irrigation, Commercial, Fishery, Fire, Domestic, Augmentation",,,
235,235,"Irrigation, Municipal, Augmentation, Power, Wildlife, All Beneficial Uses",,,
236,236,"Irrigation, Municipal, Industrial, Fire, Domestic, Stock, Augmentation",,,
237,237,"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Augmentation, Cumulative Accretion to River",,,
238,238,"Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Stock, Augmentation, Other",,,
239,239,"Irrigation, Commercial, Fishery, Stock",,,
240,240,"Irrigation, Commercial, Recreation, Fishery, Domestic, Stock, Augmentation, Wildlife",,,
241,241,"Storage, Wildlife",,,
242,242,"Irrigation, Fire, Augmentation, Geothermal",,,
243,243,"Municipal, Recreation, Domestic, Stock",,,
244,244,"Municipal, Commercial, Fire, Domestic",,,
245,245,"Irrigation, Municipal, Commercial, Industrial, Snowmaking",,,
246,246,"Irrigation, Recreation, Fishery, Stock, Evaporative, Power",,,
247,247,"Irrigation, Recreation, Fire, Other, Wildlife",,,
248,248,"Commercial, Fishery, Stock",,,
249,249,"Irrigation, Recreation, Fishery, Augmentation, Evaporative, Wildlife",,,
250,250,"Irrigation, Municipal, Augmentation, Recharge, Wildlife",,,
251,251,"Irrigation, Federal Reserved",,,
252,252,"Irrigation, Industrial, Recreation, Fishery, Domestic, Stock",,,
253,253,"Recreation, Fishery, Fire, Augmentation",,,
254,254,"Irrigation, Evaporative",,,
255,255,"Recreation, Fire, Augmentation, Other",,,
256,256,"Storage, Irrigation, Fire, Stock",,,
257,257,Geothermal,,,
258,258,"Irrigation, Industrial, Recreation, Fishery, Fire, Domestic, Augmentation",,,
259,259,"Irrigation, Commercial, Industrial, Fire, Domestic, Augmentation, Recharge",,,
260,260,"Recreation, Fishery, Stock",,,
261,261,"Storage, Irrigation, Fire, Other, Wildlife",,,
