SiteNativeID,SiteName,SiteTypeCV,Longitude,Latitude,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,NHDMetadataID
100500,HOOVER DITCH,Ditch,-104.530183,40.402588,,5107,Digitized,0.01,99999
100501,EMPIRE DITCH,Ditch,-104.483983,40.378525,,5107,Digitized,0.01,99999
100503,RIVERSIDE CANAL,Ditch,-104.468875,40.379142,,5107,Digitized,0.01,99999
100507,BIJOU CANAL,Ditch,-104.376699,40.317167,,5107,Digitized,0.01,99999
100509,CORONA RANCH DITCH,Ditch,-104.376757,40.317275,,5107,GPS,0.01,99999
100511,WELDON VALLEY DITCH,Ditch,-104.159623,40.309334,,5107,Digitized,0.01,99999
100513,JACKSON LAKE INLET DITCH,Ditch,-104.250028,40.307046,,5107,Digitized,0.01,99999
100514,FT MORGAN CANAL,Ditch,-104.016705,40.353523,,5107,Digitized,0.01,99999
100515,UPPER PLATTE BEAVER CNL,Ditch,-103.833983,40.274699,,5107,GPS,0.01,99999
100517,DEUEL SNYDER CANAL,Ditch,-103.836038,40.277648,,5107,Digitized,0.01,99999
100518,LOWER PLATTE BEAVER D,Ditch,-103.701223,40.280411,,5107,Digitized,0.01,99999
100519,TREMONT DITCH,Ditch,-103.701688,40.280687,,5107,Digitized,0.01,99999
100520,GILL STEVENS DITCH,Ditch,-103.629965,40.300112,,5107,GPS,0.01,99999
100525,TETSEL DITCH,Ditch,-103.479279,40.379145,,5107,Digitized,0.01,99999
100526,JOHNSON EDWARDS DITCH,Ditch,-103.478322,40.379763,,5107,Digitized,0.01,99999
100527,MIDDLEMIST DITCH 1,Ditch,-103.726708,39.482238,,5107,Digitized,0.01,99999
100530,BEAVER FARMERS CANAL D,Ditch,-103.575993,40.014674,,5107,Digitized,0.01,99999
100531,WYLIE LIGHT FOLLMANN D,Ditch,-103.595753,40.189567,,5107,Digitized,0.01,99999
100532,BEAVER DITCH,Ditch,-103.596022,40.189606,,5107,Digitized,0.01,99999
100534,BEAVER CREEK DITCH,Ditch,-103.572407,40.278794,,5107,Digitized,0.01,99999
100539,MIDDLEMIST DITCH 2,Ditch,-103.731676,39.491681,,5107,Digitized,0.01,99999
100540,HASH KNIFE DITCH,Ditch,-103.667751,39.657759,,5107,Digitized,0.01,99999
100547,SAN ARROYO DITCH,Ditch,-103.862374,40.216762,,5107,Spotted from quarters,0.01,99999
100549,NORTHSIDE EXT DITCH,Ditch,-104.518743,40.498081,,5107,GPS,0.01,99999
100552,WILLIAM BUZICK SEEP D,Ditch,-103.865261,40.277729,,5107,Spotted from quarters,0.01,99999
100555,BRAMKAMP DITCH,Ditch,-104.027564,39.839997,,5107,Digitized,0.01,99999
100556,MOORE DITCH,Ditch,-104.021109,39.93722,,5107,Digitized,0.01,99999
100558,M H DITCH 2,Ditch,-103.97006,39.429799,,5107,GPS,0.01,99999
100562,SUBLETTE PIPELINE HEADGATE,Pipeline,-104.185718,40.303187,,5107,Spotted from quarters,0.01,99999
100563,AGATE DITCH,Ditch,-103.938578,39.456668,,5107,Spotted from quarters,0.01,99999
100565,MAGUIRE DITCH,Ditch,-104.332941,39.271077,,5107,Digitized,0.01,99999
100566,FT MORGAN FARMS RECHARGE PROJECT PUMP STATION,Pump,-103.914078,40.313431,,5107,Spotted from section lines,0.01,99999
100568,BIJOU DITCH,Ditch,-104.246374,39.630518,,5107,Digitized,0.01,99999
100569,GROVES FARMS RECHARGE PUMP & PIPELINE,Pipeline,-104.016125,40.352933,,5107,Digitized,0.01,99999
100570,EAST GULCH DITCH,Ditch,-104.268102,39.505645,,5107,GPS,0.01,99999
100571,ELBERT DITCH,Ditch,-104.537013,39.211604,,5107,Digitized,0.01,99999
100572,OAKS DITCH 1,Ditch,-104.566166,39.231153,,5107,Digitized,0.01,99999
100573,OAKS DITCH 2,Ditch,-104.526479,39.253964,,5107,Digitized,0.01,99999
100574,AUX DITCH 1,Ditch,-104.518876,39.262421,,5107,GPS,0.01,99999
100575,DEITRICH DITCH 2,Ditch,-104.504679,39.287802,,5107,Spotted from quarters,0.01,99999
100576,DEITRICH DITCH 1,Ditch,-104.500782,39.288732,,5107,Digitized,0.01,99999
100577,D C BAILEY DITCH,Ditch,-104.494501,39.296328,,5107,Digitized,0.01,99999
100578,GEORGE WOOD DITCH,Ditch,-104.494434,39.300274,,5107,Digitized,0.01,99999
100579,GLEASON DITCH,Ditch,-104.483134,39.313738,,5107,GPS,0.01,99999
100580,WENDLING DITCH HGT 1,Ditch,-104.468784,39.343276,,5107,Digitized,0.01,99999
100581,FAHRION DITCH,Ditch,-104.473443,39.357958,,5107,Digitized,0.01,99999
100582,MARKI DITCH,Ditch,-104.475871,39.376042,,5107,Digitized,0.01,99999
100584,FRED BACHMAN DITCH 2,Ditch,-104.478535,39.398971,,5107,Digitized,0.01,99999
100585,FRED BACHMAN DITCH 3,Ditch,-104.472901,39.409701,,5107,Digitized,0.01,99999
100586,GIBSON DITCH 2,Ditch,-104.441809,39.595617,,5107,Digitized,0.01,99999
100587,UNITED DIVERSION FACILITY 1,Pipeline,-104.465167,40.381368,,5107,Spotted from quarters,0.01,99999
100591,WAHL EPPLE DITCH,Ditch,-104.257549,40.028846,,5107,Spotted from quarters,0.01,99999
100593,CAROLINE EPPLE DITCH 1,Ditch,-104.233973,40.030656,,5107,Spotted from quarters,0.01,99999
100594,CAROLINE EPPLE DITCH 2,Ditch,-104.238635,40.039638,,5107,Spotted from quarters,0.01,99999
100596,CARNAHAN UNDER FLOW D PP,Ditch,-104.523288,39.291376,,5107,Spotted from quarters,0.01,99999
100597,AUX DITCH 2,Ditch,-104.520098,39.261714,,5107,GPS,0.01,99999
100599,ALEX BRAZELTON DITCH,Ditch,-104.548616,39.202593,,5107,Spotted from quarters,0.01,99999
