WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
"!st Ext. Reservoir, Permit No. 6944 Res.",SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
"""29"" Draw",SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
"""76"" Spring",SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
0,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
18-1 Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
2 Point Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
23 Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
23A Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
24 Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
25 Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
29 Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
3-2-5 Drain,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
3-P Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
3 Lazy J Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
40 Acre Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
88 Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
A-Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
A-Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
A Small Tributary of Wiggins Fork,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
A Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
A Wash (19-29-105),SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
A Well,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
A.L. Bagley Spring No. 2,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
A.M.J. Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Aaron Gulch,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Abba Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Abe Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Abel Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Abel Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Abraham Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Ackley Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Acorn Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Acute Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Ada Spring No. 1,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Adams Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Adams Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Adams Springs,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Adamson Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Added Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Addison Gulch,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Additional Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Adele Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Adi Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Adobe Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Adobe Fork North Casper Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Agate Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Agee Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Agnes Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Aimone Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Air Strip No. 1 Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Air Strip No. 2 Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Air Strip No. 5 Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Airplane Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Airport Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Airport Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Airport Slough Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alameda Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alamo Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alaska Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Albany Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Albert Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Albert Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Albert No. One Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Albert No. Two Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Albrecht Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Albright Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alder Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
