AggregatedAmountID,OrganizationID,ReportingUnitID,VariableSpecificID,WaterSourceID,MethodID,AmountMetadataID,TimeID,Amount
1,1,215,1,3,2,1,1,79581.43
2,1,215,1,3,2,2,2,76915.00
3,1,215,1,3,2,3,3,66243.16
4,1,215,1,3,2,4,4,69960.46
5,1,215,1,3,2,5,5,82652.56
6,1,215,1,3,2,6,6,67784.22
7,1,215,1,3,2,7,7,62804.83
8,1,215,1,3,2,8,8,69598.49
9,1,215,1,3,2,9,9,68243.32
10,1,215,1,3,2,10,10,68012.04
11,1,216,1,3,2,11,11,238770.92
12,1,216,1,3,2,12,12,293652.93
13,1,216,1,3,2,13,13,293822.24
14,1,216,1,3,2,14,14,290046.21
15,1,216,1,3,2,15,15,248777.26
16,1,216,1,3,2,16,16,266766.86
17,1,216,1,3,2,17,17,243149.71
18,1,216,1,3,2,18,18,293164.51
19,1,216,1,3,2,19,19,319441.39
20,1,216,1,3,2,20,20,297581.25
21,1,217,1,3,2,21,21,72142.95
22,1,217,1,3,2,22,22,84427.53
23,1,217,1,3,2,23,23,97122.26
24,1,217,1,3,2,24,24,87546.24
25,1,217,1,3,2,25,25,66724.86
26,1,217,1,3,2,26,26,75468.67
27,1,217,1,3,2,27,27,59935.93
28,1,217,1,3,2,28,28,91118.86
29,1,217,1,3,2,29,29,91307.91
30,1,217,1,3,2,30,30,57028.88
31,1,218,1,3,2,31,31,26539.45
32,1,218,1,3,2,32,32,29835.47
33,1,218,1,3,2,33,33,32009.17
34,1,218,1,3,2,34,34,29213.71
35,1,218,1,3,2,35,35,28695.66
36,1,218,1,3,2,36,36,29009.21
37,1,218,1,3,2,37,37,26043.73
38,1,218,1,3,2,38,38,29125.36
39,1,218,1,3,2,39,39,25966.94
40,1,218,1,3,2,40,40,26989.42
41,1,219,1,3,2,41,41,6901.06
42,1,219,1,3,2,42,42,5831.91
43,1,219,1,3,2,43,43,4869.61
44,1,219,1,3,2,44,44,6010.31
45,1,219,1,3,2,45,45,5835.11
46,1,219,1,3,2,46,46,6064.63
47,1,219,1,3,2,47,47,8716.32
48,1,219,1,3,2,48,48,5878.92
49,1,219,1,3,2,49,49,6283.10
50,1,219,1,3,2,50,50,7089.45
51,1,220,1,3,2,51,51,39374.38
52,1,220,1,3,2,52,52,46173.83
53,1,220,1,3,2,53,53,38534.74
54,1,220,1,3,2,54,54,36533.77
55,1,220,1,3,2,55,55,29391.90
