OrganizationID,ReportingUnitNativeID,VariableSpecificCV,BeneficialUseCategory,USGSCategoryCV,WaterSourceID,MethodName,ReportYearCV,TimeframeStart,TimeframeEnd,InterbasinTransferFromID,InterbasinTransferToID,Amount,PopulationServed,IrrigatedAcreage,PowerGeneratedGWh,NAICSCodeCV,Geometry
UTDWRE,49001,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2005,10/1/2005,9/30/2005,,,79581.43,,,,,
UTDWRE,49001,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2006,10/1/2006,9/30/2006,,,76915.00,,,,,
UTDWRE,49001,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2007,10/1/2007,9/30/2007,,,66243.16,,,,,
UTDWRE,49001,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2008,10/1/2008,9/30/2008,,,69960.46,,,,,
UTDWRE,49001,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2009,10/1/2009,9/30/2009,,,82652.56,,,,,
UTDWRE,49001,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2010,10/1/2010,9/30/2010,,,67784.22,,,,,
UTDWRE,49001,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2011,10/1/2011,9/30/2011,,,62804.83,,,,,
UTDWRE,49001,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2012,10/1/2012,9/30/2012,,,69598.49,,,,,
UTDWRE,49001,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2013,10/1/2013,9/30/2013,,,68243.32,,,,,
UTDWRE,49001,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,"Use, Agricultural Landuse Survey",2014,10/1/2014,9/30/2014,,,68012.04,,,,,
