ReportingUnitID,ReportingUnitNativeID,ReportingUnitUID,ReportingUnitName,ReportingUnitTypeCV,ReportingUnitUpdateDate,ReportingUnitProductVersion,StateCV,EPSGCodeCV
1,00-01-03,00-01-03,Curlew Valley,Subarea,,,UT,EPSG:26912
2,000-01-03,000-01-03,Clear Creek,Subarea,,,UT,EPSG:26912
3,00-07-02,00-07-02,Promontory Point,Subarea,,,UT,EPSG:26912
4,000-01-02,000-01-02,Yost,Subarea,,,UT,EPSG:26912
5,000-02-00,000-02-00,Goose Creek,Subarea,,,UT,EPSG:26912
6,000-01-01,000-01-01,Lynn,Subarea,,,UT,EPSG:26912
7,00-07-01,00-07-01,Hansel Valley,Subarea,,,UT,EPSG:26912
8,00-01-02,00-01-02,Park Valley,Subarea,,,UT,EPSG:26912
9,00-01-01,00-01-01,Grouse Creek,Subarea,,,UT,EPSG:26912
10,02-01-08,02-01-08,Ogden Valley,Subarea,,,UT,EPSG:26912
11,04-01-04,04-01-04,Diamond Fork,Subarea,,,UT,EPSG:26912
12,00-05-01,00-05-01,Rush Valley,Subarea,,,UT,EPSG:26912
13,09-01-01,09-01-01,Colorado River/Cisco,Subarea,,,UT,EPSG:26912
14,05-02-04,05-02-04,Delta,Subarea,,,UT,EPSG:26912
15,08-05-02,08-05-02,Lower Green River,Subarea,,,UT,EPSG:26912
16,05-03-00,05-03-00,Sevier Bridge,Subarea,,,UT,EPSG:26912
17,09-02-01,09-02-01,Lasal,Subarea,,,UT,EPSG:26912
18,08-03-03,08-03-03,Emery,Subarea,,,UT,EPSG:26912
19,08-02-05,08-02-05,San Rafael River,Subarea,,,UT,EPSG:26912
20,08-03-04,08-03-04,Lower Muddy Creek,Subarea,,,UT,EPSG:26912
21,05-05-01,05-05-01,East Fork Sevier,Subarea,,,UT,EPSG:26912
22,09-01-06,09-01-06,Indian Creek,Subarea,,,UT,EPSG:26912
23,05-06-02,05-06-02,Panguitch,Subarea,,,UT,EPSG:26912
24,06-02-01,06-02-01,Parowan,Subarea,,,UT,EPSG:26912
25,09-03-04,09-03-04,Monticello,Subarea,,,UT,EPSG:26912
26,09-03-03,09-03-03,Blanding,Subarea,,,UT,EPSG:26912
27,02-01-05,02-01-05,Lost Creek,Subarea,,,UT,EPSG:26912
28,02-01-07,02-01-07,Morgan,Subarea,,,UT,EPSG:26912
29,02-01-04,02-01-04,Echo,Subarea,,,UT,EPSG:26912
30,07-01-02,07-01-02,Smith Fork,Subarea,,,UT,EPSG:26912
31,07-01-06,07-01-06,Crouse Creek,Subarea,,,UT,EPSG:26912
32,00-02-01,00-02-01,North GSL Desert,Subarea,,,UT,EPSG:26912
33,07-01-03,07-01-03,Henry's Fork,Subarea,,,UT,EPSG:26912
34,07-01-05,07-01-05,Flaming Gorge Reservoir,Subarea,,,UT,EPSG:26912
35,00-06-02,00-06-02,Antelope Island,Subarea,,,UT,EPSG:26912
36,02-01-03,02-01-03,Chalk Creek,Subarea,,,UT,EPSG:26912
