BridgeID,RegulatoryOverlayID,OrganizationID,ReportingUnitID,ReportYearCV,DataPublicationDate
1,1,2,245,2010,2/14/2019
2,2,2,245,2010,2/14/2019
3,3,2,245,2010,2/14/2019
4,4,2,254,2010,2/14/2019
5,5,2,254,2010,2/14/2019
6,4,2,255,2010,2/14/2019
7,5,2,255,2010,2/14/2019
8,4,2,256,2010,2/14/2019
9,5,2,256,2010,2/14/2019
10,4,2,257,2010,2/14/2019
11,5,2,257,2010,2/14/2019
12,4,2,258,2010,2/14/2019
13,5,2,258,2010,2/14/2019
14,4,2,259,2010,2/14/2019
15,5,2,259,2010,2/14/2019
16,4,2,260,2010,2/14/2019
17,5,2,260,2010,2/14/2019
18,4,2,261,2010,2/14/2019
19,5,2,261,2010,2/14/2019
20,4,2,262,2010,2/14/2019
21,5,2,262,2010,2/14/2019
22,4,2,263,2010,2/14/2019
23,5,2,263,2010,2/14/2019
24,1,2,246,2010,2/14/2019
25,2,2,246,2010,2/14/2019
26,3,2,246,2010,2/14/2019
27,6,2,264,2010,2/14/2019
28,7,2,264,2010,2/14/2019
29,16,2,264,2010,2/14/2019
30,6,2,265,2010,2/14/2019
31,7,2,265,2010,2/14/2019
32,16,2,265,2010,2/14/2019
33,6,2,266,2010,2/14/2019
34,7,2,266,2010,2/14/2019
35,16,2,266,2010,2/14/2019
36,1,2,267,2010,2/14/2019
37,2,2,267,2010,2/14/2019
38,3,2,267,2010,2/14/2019
39,6,2,268,2010,2/14/2019
40,7,2,268,2010,2/14/2019
41,16,2,268,2010,2/14/2019
42,6,2,269,2010,2/14/2019
43,7,2,269,2010,2/14/2019
44,16,2,269,2010,2/14/2019
45,6,2,270,2010,2/14/2019
46,7,2,270,2010,2/14/2019
47,16,2,270,2010,2/14/2019
48,6,2,271,2010,2/14/2019
49,7,2,271,2010,2/14/2019
50,16,2,271,2010,2/14/2019
51,9,2,272,2010,2/14/2019
52,10,2,272,2010,2/14/2019
53,11,2,272,2010,2/14/2019
54,12,2,272,2010,2/14/2019
55,16,2,272,2010,2/14/2019
56,9,2,273,2010,2/14/2019
57,13,2,273,2010,2/14/2019
58,11,2,273,2010,2/14/2019
59,14,2,273,2010,2/14/2019
60,15,2,273,2010,2/14/2019
61,16,2,273,2010,2/14/2019
62,1,2,247,2010,2/14/2019
63,2,2,247,2010,2/14/2019
64,3,2,247,2010,2/14/2019
65,9,2,274,2010,2/14/2019
66,13,2,274,2010,2/14/2019
67,11,2,274,2010,2/14/2019
68,14,2,274,2010,2/14/2019
69,15,2,274,2010,2/14/2019
70,15,2,274,2010,2/14/2019
71,9,2,275,2010,2/14/2019
72,13,2,275,2010,2/14/2019
73,11,2,275,2010,2/14/2019
74,14,2,275,2010,2/14/2019
75,15,2,275,2010,2/14/2019
76,16,2,275,2010,2/14/2019
77,9,2,276,2010,2/14/2019
78,13,2,276,2010,2/14/2019
79,11,2,276,2010,2/14/2019
80,14,2,276,2010,2/14/2019
81,15,2,276,2010,2/14/2019
82,16,2,276,2010,2/14/2019
83,9,2,277,2010,2/14/2019
84,13,2,277,2010,2/14/2019
85,11,2,277,2010,2/14/2019
86,14,2,277,2010,2/14/2019
87,15,2,277,2010,2/14/2019
88,16,2,277,2010,2/14/2019
89,9,2,278,2010,2/14/2019
90,13,2,278,2010,2/14/2019
91,11,2,278,2010,2/14/2019
92,14,2,278,2010,2/14/2019
93,15,2,278,2010,2/14/2019
94,16,2,278,2010,2/14/2019
95,6,2,279,2010,2/14/2019
96,7,2,279,2010,2/14/2019
