WaterSourceID,WaterSourceUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,Geometry,GNISFeatureNameCV
4,Abbot Creek-CODWR,A100,Abbot Creek,Uknown,Fresh,,
5,Acme Creek-CODWR,A101,Acme Creek,Uknown,Fresh,,
6,Acorn Creek-CODWR,A102,Acorn Creek,Uknown,Fresh,,
7,Adams Creek-CODWR,A103,Adams Creek,Uknown,Fresh,,
8,Adams Fork Conejos River-CODWR,A104,Adams Fork Conejos River,Uknown,Fresh,,
9,Adobe Creek-CODWR,A105,Adobe Creek,Uknown,Fresh,,
10,Agate Creek-CODWR,A106,Agate Creek,Uknown,Fresh,,
11,Agua Canyon-CODWR,A107,Agua Canyon,Uknown,Fresh,,
12,Agua Ramon Creek-CODWR,A108,Agua Ramon Creek,Uknown,Fresh,,
13,Aichers Draw-CODWR,A109,Aichers Draw,Uknown,Fresh,,
14,Alamo Canyon-CODWR,A110,Alamo Canyon,Uknown,Fresh,,
15,Alamo Creek-CODWR,A111,Alamo Creek,Uknown,Fresh,,
16,Alamosa River-CODWR,A112,Alamosa River,Uknown,Fresh,,
17,Albert Creek-CODWR,A113,Albert Creek,Uknown,Fresh,,
18,Alder Creek-CODWR,A114,Alder Creek,Uknown,Fresh,,
19,Alderdice Draw-CODWR,A115,Alderdice Draw,Uknown,Fresh,,
20,Aldrich Slough-CODWR,A116,Aldrich Slough,Uknown,Fresh,,
21,Alfalfa Run-CODWR,A117,Alfalfa Run,Uknown,Fresh,,
22,Alkali Canyon-CODWR,A118,Alkali Canyon,Uknown,Fresh,,
23,Alkali Creek-CODWR,A119,Alkali Creek,Uknown,Fresh,,
24,Alkali Slough Creek-CODWR,A120,Alkali Slough Creek,Uknown,Fresh,,
25,Allen Creek-CODWR,A121,Allen Creek,Uknown,Fresh,,
26,Allenwater Creek-CODWR,A122,Allenwater Creek,Uknown,Fresh,,
27,Alpine Brook-CODWR,A123,Alpine Brook,Uknown,Fresh,,
28,Alum Gulch-CODWR,A124,Alum Gulch,Uknown,Fresh,,
29,Alvarado Creek-CODWR,A125,Alvarado Creek,Uknown,Fresh,,
30,Anderson Arroyo-CODWR,A126,Anderson Arroyo,Uknown,Fresh,,
31,Anderson Auroya-CODWR,A127,Anderson Auroya,Uknown,Fresh,,
32,Animas River-CODWR,A128,Animas River,Uknown,Fresh,,
33,Antelope Creek-CODWR,A129,Antelope Creek,Uknown,Fresh,,
34,Antelope Draw-CODWR,A130,Antelope Draw,Uknown,Fresh,,
35,Antelope Gulch Creek-CODWR,A131,Antelope Gulch Creek,Uknown,Fresh,,
36,Anthracite Creek-CODWR,A132,Anthracite Creek,Uknown,Fresh,,
37,Apache Creek-CODWR,A133,Apache Creek,Uknown,Fresh,,
38,Apex Gulch-CODWR,A134,Apex Gulch,Uknown,Fresh,,
39,Apishapa River-CODWR,A135,Apishapa River,Uknown,Fresh,,
40,Arapaho Creek-CODWR,A136,Arapaho Creek,Uknown,Fresh,,
41,ARAPAHOE-CODWR,A137,ARAPAHOE,Uknown,Fresh,,
42,Archuleta Creek-CODWR,A138,Archuleta Creek,Uknown,Fresh,,
43,Arikaree River-CODWR,A139,Arikaree River,Uknown,Fresh,,
44,Arkansas River-CODWR,A140,Arkansas River,Uknown,Fresh,,
45,Armstrong Canyon-CODWR,A141,Armstrong Canyon,Uknown,Fresh,,
46,Armstrong Creek-CODWR,A142,Armstrong Creek,Uknown,Fresh,,
47,Arroyo Escondido-CODWR,A143,Arroyo Escondido,Uknown,Fresh,,
48,Ashcroft Draw-CODWR,A144,Ashcroft Draw,Uknown,Fresh,,
49,Aspen Brook-CODWR,A145,Aspen Brook,Uknown,Fresh,,
50,Aspen Creek-CODWR,A146,Aspen Creek,Uknown,Fresh,,
51,Aspen Gulch-CODWR,A147,Aspen Gulch,Uknown,Fresh,,
52,Atascadero Arroya-CODWR,A148,Atascadero Arroya,Uknown,Fresh,,
53,Aubury Creek-CODWR,A149,Aubury Creek,Uknown,Fresh,,
54,Austrian Creek-CODWR,A150,Austrian Creek,Uknown,Fresh,,
55,Avalanche Creek-CODWR,A151,Avalanche Creek,Uknown,Fresh,,
56,Avoca Brook-CODWR,A152,Avoca Brook,Uknown,Fresh,,
57,Aztec Wash-CODWR,A153,Aztec Wash,Uknown,Fresh,,
58,Bachelor Gulch-CODWR,A154,Bachelor Gulch,Uknown,Fresh,,
59,Badger Creek-CODWR,A155,Badger Creek,Uknown,Fresh,,
60,Badgero Creek-CODWR,A156,Badgero Creek,Uknown,Fresh,,
61,Baker Arroyo-CODWR,A157,Baker Arroyo,Uknown,Fresh,,
62,Balanger Creek-CODWR,A158,Balanger Creek,Uknown,Fresh,,
63,Bald Mountain Draw-CODWR,A159,Bald Mountain Draw,Uknown,Fresh,,
64,Baldwin Creek-CODWR,A160,Baldwin Creek,Uknown,Fresh,,
65,Baldy Creek-CODWR,A161,Baldy Creek,Uknown,Fresh,,
66,Balm of Gilead Creek-CODWR,A162,Balm of Gilead Creek,Uknown,Fresh,,
67,Bangs Canyon-CODWR,A163,Bangs Canyon,Uknown,Fresh,,
68,Banita Creek-CODWR,A164,Banita Creek,Uknown,Fresh,,
69,Bar Seven L Creek-CODWR,A165,Bar Seven L Creek,Uknown,Fresh,,
70,Barbara Creek-CODWR,A166,Barbara Creek,Uknown,Fresh,,
71,Barber Creek-CODWR,A167,Barber Creek,Uknown,Fresh,,
72,Bard Creek-CODWR,A168,Bard Creek,Uknown,Fresh,,
73,Barger Gulch-CODWR,A169,Barger Gulch,Uknown,Fresh,,
74,Barnard Creek-CODWR,A170,Barnard Creek,Uknown,Fresh,,
75,Barnes Meadow Creek-CODWR,A171,Barnes Meadow Creek,Uknown,Fresh,,
76,Barney Creek-CODWR,A172,Barney Creek,Uknown,Fresh,,
77,Barret Creek-CODWR,A173,Barret Creek,Uknown,Fresh,,
78,Barton Creek-CODWR,A174,Barton Creek,Uknown,Fresh,,
79,Basin Creek-CODWR,A175,Basin Creek,Uknown,Fresh,,
80,Basin Gulch-CODWR,A176,Basin Gulch,Uknown,Fresh,,
81,Battle Creek-CODWR,A177,Battle Creek,Uknown,Fresh,,
82,Battlement Creek-CODWR,A178,Battlement Creek,Uknown,Fresh,,
83,Baxter Creek-CODWR,A179,Baxter Creek,Uknown,Fresh,,
84,Bead Creek-CODWR,A180,Bead Creek,Uknown,Fresh,,
85,Bear Canon Creek-CODWR,A181,Bear Canon Creek,Uknown,Fresh,,
86,Bear Canyon Creek-CODWR,A182,Bear Canyon Creek,Uknown,Fresh,,
87,Bear Creek-CODWR,A183,Bear Creek,Uknown,Fresh,,
88,Bear Gulch-CODWR,A184,Bear Gulch,Uknown,Fresh,,
89,Bear Park Creek-CODWR,A185,Bear Park Creek,Uknown,Fresh,,
90,Bear River-CODWR,A186,Bear River,Uknown,Fresh,,
91,Beard Creek-CODWR,A187,Beard Creek,Uknown,Fresh,,
92,Beaton Creek-CODWR,A188,Beaton Creek,Uknown,Fresh,,
93,Beaver Brook-CODWR,A189,Beaver Brook,Uknown,Fresh,,
94,Beaver Creek-CODWR,A190,Beaver Creek,Uknown,Fresh,,
95,Beaver Lake Creek-CODWR,A191,Beaver Lake Creek,Uknown,Fresh,,
96,Beck Gulch-CODWR,A192,Beck Gulch,Uknown,Fresh,,
97,Bedrock Creek-CODWR,A193,Bedrock Creek,Uknown,Fresh,,
98,Beef Canyon-CODWR,A194,Beef Canyon,Uknown,Fresh,,
99,Bell Creek-CODWR,A195,Bell Creek,Uknown,Fresh,,
100,Bell Rock Gulch-CODWR,A196,Bell Rock Gulch,Uknown,Fresh,,
101,Bellows Creek-CODWR,A197,Bellows Creek,Uknown,Fresh,,
102,Ben Morgan Canyon-CODWR,A198,Ben Morgan Canyon,Uknown,Fresh,,
103,Ben Tyler Gulch-CODWR,A199,Ben Tyler Gulch,Uknown,Fresh,,
104,Bend Creek-CODWR,A200,Bend Creek,Uknown,Fresh,,
105,Benner Gulch-CODWR,A201,Benner Gulch,Uknown,Fresh,,
106,Bennett Creek-CODWR,A202,Bennett Creek,Uknown,Fresh,,
107,Bent Canyon Creek-CODWR,A203,Bent Canyon Creek,Uknown,Fresh,,
108,Bernard Creek-CODWR,A204,Bernard Creek,Uknown,Fresh,,
109,Berri Creek-CODWR,A205,Berri Creek,Uknown,Fresh,,
110,Berry Creek-CODWR,A206,Berry Creek,Uknown,Fresh,,
111,Berry Gulch-CODWR,A207,Berry Gulch,Uknown,Fresh,,
112,Berwind Arroyo-CODWR,A208,Berwind Arroyo,Uknown,Fresh,,
113,Biedell Creek-CODWR,A209,Biedell Creek,Uknown,Fresh,,
114,Bieser Creek-CODWR,A210,Bieser Creek,Uknown,Fresh,,
115,Big Alkali Creek-CODWR,A211,Big Alkali Creek,Uknown,Fresh,,
116,Big Bear Creek-CODWR,A212,Big Bear Creek,Uknown,Fresh,,
117,Big Beaver Creek-CODWR,A213,Big Beaver Creek,Uknown,Fresh,,
118,Big Bend Creek-CODWR,A214,Big Bend Creek,Uknown,Fresh,,
119,Big Blue Creek-CODWR,A215,Big Blue Creek,Uknown,Fresh,,
120,Big Canyon Creek-CODWR,A216,Big Canyon Creek,Uknown,Fresh,,
121,Big Cottonwood Creek-CODWR,A217,Big Cottonwood Creek,Uknown,Fresh,,
122,Big Creek-CODWR,A218,Big Creek,Uknown,Fresh,,
123,Big Dominguez Creek-CODWR,A219,Big Dominguez Creek,Uknown,Fresh,,
124,Big Draw-CODWR,A220,Big Draw,Uknown,Fresh,,
125,Big Dry Creek-CODWR,A221,Big Dry Creek,Uknown,Fresh,,
126,Big Fish Creek-CODWR,A222,Big Fish Creek,Uknown,Fresh,,
127,Big Foundation Creek-CODWR,A223,Big Foundation Creek,Uknown,Fresh,,
128,Big Gulch-CODWR,A224,Big Gulch,Uknown,Fresh,,
129,Big Hollow-CODWR,A225,Big Hollow,Uknown,Fresh,,
130,Big Joe Draw-CODWR,A226,Big Joe Draw,Uknown,Fresh,,
