ReportingUnitNativeID,ReportingUnitName,ReportingUnitTypeCV,ReportingUnitUpdateDate,ReportingUnitProductVersion,StateCV,EPSGCodeCV,Geometry
245,South Platte - South Platte - Greeley to Balzac,SEO WATER DISTRICTS,,,CO,EPSG:4326,
246,South Platte - South Platte - Denver Gage to Greeley,SEO WATER DISTRICTS,,,CO,EPSG:4326,
247,South Platte - Cache La Poudre River,SEO WATER DISTRICTS,,,CO,EPSG:4326,
248,South Platte - Big Thompson River,SEO WATER DISTRICTS,,,CO,EPSG:4326,
249,South Platte - St. Vrain Creek,SEO WATER DISTRICTS,,,CO,EPSG:4326,
250,South Platte - Boulder Creek,SEO WATER DISTRICTS,,,CO,EPSG:4326,
251,South Platte - Clear Creek,SEO WATER DISTRICTS,,,CO,EPSG:4326,
252,South Platte - South Platte - Cheesman to Denver Gage,SEO WATER DISTRICTS,,,CO,EPSG:4326,
253,South Platte - Bear Creek,SEO WATER DISTRICTS,,,CO,EPSG:4326,
254,Arkansas - Fountain Creek,SEO WATER DISTRICTS,,,CO,EPSG:4326,
255,Arkansas - Arkansas - Headwaters to Salida,SEO WATER DISTRICTS,,,CO,EPSG:4326,
256,Arkansas - Arkansas - Salida to Portland,SEO WATER DISTRICTS,,,CO,EPSG:4326,
257,Arkansas - Wet Mountain Valley,SEO WATER DISTRICTS,,,CO,EPSG:4326,
258,Arkansas - Arkansas - Portland to Fowler,SEO WATER DISTRICTS,,,CO,EPSG:4326,
259,Arkansas - Saint Charles,SEO WATER DISTRICTS,,,CO,EPSG:4326,
260,Arkansas - Cucharas River,SEO WATER DISTRICTS,,,CO,EPSG:4326,
261,Arkansas - Arkansas - Fowler to Las Animas,SEO WATER DISTRICTS,,,CO,EPSG:4326,
262,Arkansas - Apishapa River,SEO WATER DISTRICTS,,,CO,EPSG:4326,
263,Arkansas - Purgatoire River,SEO WATER DISTRICTS,,,CO,EPSG:4326,
264,Rio Grande - Rio Grande,SEO WATER DISTRICTS,,,CO,EPSG:4326,
265,Rio Grande - Alamosa La Jara,SEO WATER DISTRICTS,,,CO,EPSG:4326,
266,Rio Grande - Conejos River,SEO WATER DISTRICTS,,,CO,EPSG:4326,
267,South Platte - Upper South Platte,SEO WATER DISTRICTS,,,CO,EPSG:4326,
